measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,1996,108737146.34493461,114615423.46549734,103295852.25016776
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,1997,109664425.60119797,115230414.72358654,104310645.8346277
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,1998,110447211.26298314,115953928.34947498,105531744.63747576
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,1999,111155600.26084478,116135747.32194026,106616267.35615405
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2000,111795784.66549188,116545605.32457267,107408633.74254462
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2001,112410523.02276297,116691365.65727282,108421060.35926053
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2002,113014105.41218561,117685056.97795501,108577770.48394346
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2003,113644568.71507904,118653943.43789722,108931585.56916344
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2004,114301403.14765383,119903376.0389577,109249821.48238657
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2005,115019418.47121511,120731134.069863,109830650.90021493
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2006,115805449.14766914,122205329.51536743,110116224.90137228
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2007,116625722.77601165,122550219.33296007,111354920.2342249
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2008,117417133.47079514,122860578.12083532,112365655.55683994
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2009,117948034.6776856,123001913.22531976,113206682.4051927
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2010,118202602.04687409,122943961.78635469,113700872.06014746
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2011,118278094.64525254,122626944.73167855,114322609.29679447
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2012,118141783.45977709,122791221.42629078,113902629.46787412
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2013,117811842.48917934,122600430.83233656,113320850.97035412
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2014,117280928.2759023,122262286.98080647,112364015.71660894
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2015,116705140.31952412,122104369.7651909,111718319.78701617
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2016,116212021.39062713,121783815.3429871,110626283.75679544
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2017,115748819.45241758,121862224.18195286,110376904.47021124
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2018,115196932.75140604,121182564.44994724,109391491.41627283
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2019,114285313.07232462,120838152.79680751,108637037.12277429
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2020,113092058.17147145,119679509.978455,106686466.02508141
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2021,111806788.38064638,118971764.73090124,105518560.90471123
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2022,110394126.3690977,118171217.69869885,103799250.6407492
44,Population,44636,Low-middle SDI,3,Both,1,<5 years,1,Number,2023,108906168.60437274,116258903.2523683,101842816.59730925
44,Population,44636,Low-middle SDI,3,Both,2,0-6 days,1,Number,1990,428516.0186771071,446501.0390730908,411971.87505989993
